Dataset,Model,CV_R2_Mean,CV_R2_Std,Test_MAE,Test_RMSE,Test_R2
Scaled-only,DecisionTree,0.4250270438601147,0.1095271004034583,4.270588235294118,5.545462727558909,0.3389201899275581
Feature-Selected,DecisionTree,0.2976803568969057,0.11582486570876704,4.36078431372549,5.5498101009730725,0.33788327472136936
Scaled-only,LinearRegression,0.6863187376685203,0.03194559890858811,3.3292537695988687,4.2402793533938565,0.613484200758535
Feature-Selected,LinearRegression,0.6952454124979164,0.035255350335008755,3.2487716282676438,4.029499704898092,0.6509556849377554
Scaled-only,RandomForest,0.6662682164657739,0.05456196114226537,3.4018235294117645,4.097009571794109,0.6391619978841838
Feature-Selected,RandomForest,0.655445234157729,0.04700117281873226,3.328764705882354,3.984024039714069,0.6587896368399955
Scaled-only,GradientBoosting,0.6258006340215541,0.08359301181140502,3.308267377405989,4.061586608148795,0.6453746730026082
Feature-Selected,GradientBoosting,0.6000883075592758,0.07793298158978161,3.501640796593781,4.396792017034574,0.5844242881907347
Scaled-only,XGBoost,0.6305763069291022,0.07476588162377754,3.3293617716022568,4.112081242296551,0.6365022849608795
Feature-Selected,XGBoost,0.5876229974760296,0.08566730885638409,3.304916385575838,4.203455402473786,0.620168305976401
Scaled-only,Ridge,0.6893640881144363,0.03134686406882035,3.32917484167044,4.261240367859867,0.6096534210644642
Feature-Selected,Ridge,0.6984221001979385,0.029386608843369317,3.2599232678016437,4.043927052402446,0.6484517518759172
Scaled-only,ElasticNet,0.6054159652148888,0.057164958966847174,4.075815333409237,4.84586146097494,0.4951988912577896
Feature-Selected,ElasticNet,0.5707829300767716,0.053046959025557706,4.120743447652083,4.975755645943243,0.4677736143726572
Scaled-only,SVR,0.5088785081991972,0.05331684571233326,4.199976354220383,5.130864499581098,0.43407431717841705
Feature-Selected,SVR,0.46330051604967615,0.06784805124469331,3.9076276224861712,4.88683920108192,0.4866253610468514
Scaled-only,KNRegressor,0.5645832814465154,0.07310965960362964,4.030980392156862,4.807284505178104,0.5032041456772474
Feature-Selected,KNRegressor,0.5367550190117427,0.07922650493323534,3.8799999999999994,4.688167834779256,0.527518711335733
